,Movies,Plots
1,Skyfall," He fails a series of physical, medical, and psychological examinations, but M approves his return to the field, ordering him to identify Patrice's employer, recover the hard drive, and kill Patrice"
1,Skyfall," He meets Q, MI6's new quartermaster, who gives him a radio beacon and a Walther PPK pistol"
1,Skyfall,", 'In Shanghai, Bond follows Patrice but is unable to prevent him killing a target"
1,Skyfall, The two fight and Patrice falls to his death before Bond can learn his employer\'s identity
1,Skyfall, Moneypenny joins Bond in his investigation on orders from Mallory
1,Skyfall," Bond finds a casino token Patrice intended to cash in for the assassination, leading him to a casino in Macau"
1,Skyfall," There, Bond is approached by Sévérine, Patrice\'s accomplice"
1,Skyfall," Recognising her tattoo, he concludes she was a sex slave rescued by a criminal who now employs her, a man Bond wishes to meet"
1,Skyfall," She warns him he is targeted by her bodyguards, but promises to help if Bond kills her employer"
1,Skyfall," Bond thwarts the attack and joins Sévérine on her yacht, the Chimera"
1,Skyfall," They travel to an abandoned island off the coast of Macau, where the crew captures and delivers them to Sévérine\'s employer, Raoul Silva"
1,Skyfall," Once an MI6 agent, Silva turned to cyberterrorism and orchestrated the attack on MI6"
1,Skyfall," Silva kills Sévérine, but Bond alerts MI6 reinforcements who capture Silva for rendition to Britain"
1,Skyfall,"', At MI6's new underground headquarters, Q attempts to decrypt Silva's laptop, but inadvertently gives it access to the MI6 servers, allowing Silva to escape"
1,Skyfall," Q concludes Silva wanted to be captured as part of a plan to kill M, whom he hates for disavowing and betraying him to the Chinese government in 1997, leaving him to be tortured and disfigured by a suicide attempt by cyanide pill"
1,Skyfall, Silva escapes his cell and Bond chases him through the London Underground and thwarts Silva's attack at a Parliament inquiry where M is present
1,Skyfall,", Instructing Q and Bill Tanner to leave an electronic trail for Silva to follow, Bond uses his Aston Martin DB5 to take M to Skyfall, his childhood home in the Scottish Highlands"
1,Skyfall," They meet Skyfall's gamekeeper Kincade, and together the trio set up a series of booby traps throughout the house"
1,Skyfall," When Silva's men arrive, Bond, M, and Kincade kill most of them, but M is wounded"
1,Skyfall," Silva arrives by helicopter with more men and heavy weapons, so Bond sends M and Kincade through a priest hole to hide in a nearby chapel, and rigs propane tanks to explode"
1,Skyfall," As the house and the helicopter are destroyed, Bond escapes down the same tunnel"
1,Skyfall,", Silva survives the destruction of the house, following Kincade and M to the chapel"
1,Skyfall," Confronting M, Silva forces his gun into her hand and presses his temple to hers, begging her to kill them both"
1,Skyfall, Bond arrives and kills Silva by throwing a knife into his back
1,Skyfall, M then succumbs to her wounds and dies in Bond's arms
1,Skyfall,", Following M's funeral, Moneypenny formally introduces herself to Bond and tells him she is retiring from fieldwork to become secretary for Mallory, the newly appointed M"
1,Skyfall," Bond meets with Mallory, and tells him he is ready to get back to work"
2,Thor: Ragnarok,"Two years after the battle of Sokovia, Thor is imprisoned by the fire demon Surtur, who reveals that Thor's father Odin is no longer on Asgard"
2,Thor: Ragnarok," He explains that the realm will soon be destroyed during the prophesied Ragnarök, once Surtur unites his crown with the Eternal Flame that burns in Odin's vault"
2,Thor: Ragnarok," Thor frees himself, defeats Surtur and takes his crown, believing he has prevented Ragnarök"
2,Thor: Ragnarok,", Thor returns to Asgard to find Heimdall gone and his estranged brother Loki posing as Odin"
2,Thor: Ragnarok," After exposing Loki, Thor forces him to help find their father, and with directions from Stephen Strange at the Sanctum Sanctorum in New York City, they locate Odin in Norway"
2,Thor: Ragnarok," Odin explains that he is dying, Ragnarök is imminent despite Thor's efforts to prevent it, and his passing will free his firstborn child, Hela, from a prison she was sealed in long ago"
2,Thor: Ragnarok," Hela was the leader of Asgard's armies, conquering the Nine Realms with Odin, but he imprisoned her and wrote her out of history after fearing that she had become too ambitious and powerful"
2,Thor: Ragnarok,", Odin dies as Thor and Loki look on, and Hela appears, destroying Thor's hammer Mjolnir"
2,Thor: Ragnarok," She pursues the two as they attempt to flee through the Bifröst Bridge, forcing them out into space"
2,Thor: Ragnarok," Arriving in Asgard, she defeats its army and kills the Warriors Three"
2,Thor: Ragnarok," She then resurrects the ancient dead who once fought with her, including her giant wolf Fenris, and appoints the Asgardian Skurge as her executioner"
2,Thor: Ragnarok," Hela plans to use the Bifröst to expand Asgard's empire, but Heimdall sneaks in, takes the sword that controls the Bifrost, and begins hiding other Asgardians"
2,Thor: Ragnarok," Thor crash-lands on Sakaar, a garbage planet surrounded by wormholes"
2,Thor: Ragnarok,", A slave trader designated Scrapper 142 subdues him with an obedience disk and sells him as a gladiator to Sakaar's ruler, the Grandmaster, with whom Loki has already ingratiated himself"
2,Thor: Ragnarok," Thor recognizes 142 as a Valkyrie, one of a legendary force of female warriors who were killed fighting Hela eons ago"
2,Thor: Ragnarok," Thor is forced to compete in the Grandmaster's Contest of Champions, facing his old friend Hulk"
2,Thor: Ragnarok," Summoning lightning, Thor gets the upper hand, but the Grandmaster sabotages the fight to ensure Hulk's victory"
2,Thor: Ragnarok," Still enslaved after the fight, Thor attempts to convince Hulk and 142 to help him save Asgard, but neither is willing"
2,Thor: Ragnarok,", He soon manages to escape the palace and finds the Quinjet that brought the Hulk to Sakaar"
2,Thor: Ragnarok," Hulk follows Thor to the Quinjet, where a recording of Natasha Romanoff causes him to transform back into Bruce Banner for the first time since Sokovia"
2,Thor: Ragnarok," The Grandmaster orders 142 and Loki to find Thor and Hulk, but the pair come to blows and Loki forces her to relive the deaths of her Valkyrie companions at the hands of Hela"
2,Thor: Ragnarok," Deciding to help Thor, she takes Loki captive"
2,Thor: Ragnarok," Unwilling to be left behind, Loki provides the group with the means to steal one of the Grandmaster's ships"
2,Thor: Ragnarok," They then liberate the other gladiators who, incited by two aliens named Korg and Miek, stage a revolution"
2,Thor: Ragnarok," Loki again attempts to betray his brother, but Thor anticipates this and incapacitates him, leaving him behind where Korg, Miek, and the gladiators soon find him"
2,Thor: Ragnarok,", Thor, Banner, and 142 escape through a wormhole to Asgard, where Hela's forces attack Heimdall and the remaining Asgardians in pursuit of the sword that controls the Bifröst"
2,Thor: Ragnarok," Banner transforms into Hulk again, defeating Fenris, while Thor and 142 fight Hela and her warriors"
2,Thor: Ragnarok," Loki and the gladiators arrive to rescue the citizens, and a repentant Skurge sacrifices himself to enable their escape"
2,Thor: Ragnarok," Thor, facing Hela, loses his right eye and then has a vision of Odin that helps him realize only Ragnarök can stop her"
2,Thor: Ragnarok, He sends Loki to retrieve Surtur's crown and place it in the Eternal Flame
2,Thor: Ragnarok," Surtur is reborn and destroys Asgard, killing Hela as the refugees flee"
2,Thor: Ragnarok," Aboard the Grandmaster's spaceship, Thor, now king, reconciles with Loki and decides to take his people to Earth"
2,Thor: Ragnarok,", 'In a mid-credits scene, they are intercepted by a large spacecraft"
2,Thor: Ragnarok," In a post-credits scene, the overthrown Grandmaster is confronted by his former subjects"
3,Star Wars: Episode III – Revenge of the Sith,"Above Coruscant, Obi-Wan Kenobi and Anakin Skywalker lead a mission to rescue the kidnapped Supreme Chancellor Palpatine from the cyborg Separatist commander General Grievous"
3,Star Wars: Episode III – Revenge of the Sith," After infiltrating Grievous' flagship, Obi-Wan and Anakin battle the Sith Lord Count Dooku, whom Anakin overpowers and decapitates at Palpatine's urging"
3,Star Wars: Episode III – Revenge of the Sith," Grievous escapes the battle-torn ship, which the Jedi crash-land on Coruscant"
3,Star Wars: Episode III – Revenge of the Sith," There, Anakin reunites with his secret wife, Padmé Amidala, who reveals that she is pregnant"
3,Star Wars: Episode III – Revenge of the Sith," While initially excited, Anakin soon begins to have visions of Padmé dying in childbirth"
3,Star Wars: Episode III – Revenge of the Sith,", Palpatine appoints Anakin to the Jedi Council as his personal representative"
3,Star Wars: Episode III – Revenge of the Sith," The Council, suspicious of Palpatine, approves the appointment but declines to grant Anakin the rank of Master and instead instructs him to spy on Palpatine, diminishing Anakin's faith in the Jedi"
3,Star Wars: Episode III – Revenge of the Sith," Meanwhile, on Utapau, Grievous relocates the Separatist leaders to the volcanic planet Mustafar"
3,Star Wars: Episode III – Revenge of the Sith," Obi-Wan travels to Utapau to confront Grievous and kills him, while Yoda travels to the Wookiee planet of Kashyyyk to defend it from a Separatist invasion"
3,Star Wars: Episode III – Revenge of the Sith,", Palpatine tempts Anakin with his knowledge of the dark side of the Force, and offers to teach him the power to prevent Padmé's death"
3,Star Wars: Episode III – Revenge of the Sith," Anakin deduces that Palpatine is the Sith Lord behind the war and reports his treachery to Mace Windu, who confronts and subdues him"
3,Star Wars: Episode III – Revenge of the Sith," Desperate to save Padmé's life, Anakin severs Windu's hand before he can kill Palpatine, who sends Windu falling to his death with a blast of Force lightning"
3,Star Wars: Episode III – Revenge of the Sith," Anakin pledges himself to the Sith, and Palpatine knights him Darth Vader"
3,Star Wars: Episode III – Revenge of the Sith," Palpatine issues Order 66, which commands the clone troopers to kill their commanding Jedi generals across the galaxy, while Vader and a battalion of clone troopers kill the remaining Jedi in the Jedi Temple"
3,Star Wars: Episode III – Revenge of the Sith," Vader then travels to Mustafar to assassinate the Separatist leaders, while Palpatine declares himself Emperor before the Galactic Senate, transforming the Republic into the Galactic Empire, and denounces the Jedi as traitors"
3,Star Wars: Episode III – Revenge of the Sith,", Having survived the chaos, Obi-Wan and Yoda return to Coruscant, where Obi-Wan learns of Anakin's turn to the dark side"
3,Star Wars: Episode III – Revenge of the Sith, Yoda instructs Obi-Wan to confront Vader while he faces Palpatine
3,Star Wars: Episode III – Revenge of the Sith, Obi-Wan seeks out Padmé to find out Vader's whereabouts and reveals his treachery
3,Star Wars: Episode III – Revenge of the Sith," Padmé then travels to Mustafar – with Obi-Wan stowing away on her ship – and pleads with Vader to abandon the dark side and leave with her, but he refuses"
3,Star Wars: Episode III – Revenge of the Sith," Seeing Obi-Wan aboard the ship, and thinking that they are conspiring to kill him, Vader uses the Force to strangle Padmé to unconsciousness in a blind rage"
3,Star Wars: Episode III – Revenge of the Sith," Obi-Wan then engages Vader in a lightsaber duel that ends with Obi-Wan severing Vader's legs and left arm, leaving him at the bank of a lava flow where Vader is horribly burned"
3,Star Wars: Episode III – Revenge of the Sith, Obi-Wan retrieves Vader's lightsaber and leaves him for dead
3,Star Wars: Episode III – Revenge of the Sith,", 'On Coruscant, Yoda battles Palpatine until their duel reaches a stalemate"
3,Star Wars: Episode III – Revenge of the Sith," Realizing he cannot defeat Palpatine, Yoda flees with Senator Bail Organa and regroups with Obi-Wan and Padmé on the planetoid Polis Massa"
3,Star Wars: Episode III – Revenge of the Sith," There, Padmé gives birth to twins, whom she names Luke and Leia, and dies soon after, having lost her will to live but still believing there is good in Vader"
3,Star Wars: Episode III – Revenge of the Sith," Palpatine retrieves a barely-alive Vader and takes him to Coruscant, where his mutilated body is treated and covered in a black armored suit"
3,Star Wars: Episode III – Revenge of the Sith," When Vader asks if Padmé is safe, Palpatine says that he killed her out of anger, and Vader screams in agony"
3,Star Wars: Episode III – Revenge of the Sith,"', Obi-Wan and Yoda plan to conceal the twins from the Sith and go into exile until the time is right to challenge the Empire"
3,Star Wars: Episode III – Revenge of the Sith," As Padmé's funeral takes place on her home world of Naboo, Palpatine and Vader supervise the construction of the Death Star"
3,Star Wars: Episode III – Revenge of the Sith," Bail takes Leia to Alderaan, where he and his wife adopt her, while Obi-Wan delivers Luke to his step-uncle and -aunt, Owen and Beru Lars, on Tatooine before going into exile to watch over the boy"
4,Jumanji: Welcome to the Jungle,"'In 1996, Brantford, New Hampshire, teenager Alex Vreeke receives Jumanji, which was previously disposed of by Alan Parrish and Sarah Whittle in 1969, from his father who discovered it at the coast"
4,Jumanji: Welcome to the Jungle," Uninterested, Alex sets it aside, only to find it transformed into a video game cartridge later that night"
4,Jumanji: Welcome to the Jungle," Opting to play the game, he is suddenly sucked inside upon choosing a character"
4,Jumanji: Welcome to the Jungle, His disappearance results in his father becoming despondent and their home falling into disrepair
4,Jumanji: Welcome to the Jungle,"', 'Twenty-one years later in 2017, four Brantford High School students – awkward Spencer Gilpin, athletic Anthony Fridge Johnson, ditzy Bethany Walker, and rebellious Martha Kaply – are sent by Principal Bentley to clean the school\'s basement for detention – Bethany for using her phone during a quiz, Martha for insulting the gym teacher, and Spencer and Fridge for the former writing the latter\'s essay for him"
4,Jumanji: Welcome to the Jungle," Fridge discovers Alex\'s discarded video game system, which he and Spencer decide to play and encourage the girls to join them"
4,Jumanji: Welcome to the Jungle," Upon starting the game, they are sucked into Jumanji, landing in a jungle as their chosen characters – Spencer as muscular explorer and archaeologist Dr"
4,Jumanji: Welcome to the Jungle," Xander Smolder Bravestone, Fridge as diminutive zoologist Franklin Mouse Finbar, Bethany as male cartographer and paleontologist Professor Sheldon Shelly Oberon, and Martha as martial arts expert Ruby Roundhouse"
4,Jumanji: Welcome to the Jungle,"', 'While coming to terms with their situation, the group find three marks on their arms denoting lives"
4,Jumanji: Welcome to the Jungle," Spencer theorizes that if they lose all three, they will permanently expire"
4,Jumanji: Welcome to the Jungle," The group encounter the game\'s NPC guide Nigel Billingsly, who provides them with the game\'s narrative and their characters\' backstories"
4,Jumanji: Welcome to the Jungle," The group learn that their goal is to end a curse on Jumanji, brought about by corrupt archaeologist Professor Van Pelt after he stole a magical jewel called the Jaguar\'s Eye from its shrine and gained control of all the jungle\'s animals, casting a terrible curse upon Jumanji"
4,Jumanji: Welcome to the Jungle," Nigel hands Spencer the jewel, having stolen it from Van Pelt, and before driving off he instructs the group to return it to a statue at the shrine and call out Jumanji to lift the curse and leave the game"
4,Jumanji: Welcome to the Jungle,"', 'Coping with their avatars, their weaknesses, Van Pelt\'s men, and Spencer and Fridge\'s animosity towards each other for the former inadvertently costing the latter his place in their school\'s football team, the group encounter Alex operating the fifth avatar – pilot Jefferson Seaplane McDonough – who takes them to a treehouse that Alan Parrish built during his tenure in Jumanji after saving them from Van Pelt\'s men"
4,Jumanji: Welcome to the Jungle," Upon realizing his identity, the group is collectively shocked upon learning how long he has been trapped in the game, although Alex thought he\'d only been there a few months"
4,Jumanji: Welcome to the Jungle," Now with a common goal, the group vows to help Alex return home with them"
4,Jumanji: Welcome to the Jungle,"', Dealing with further problems while heading for the shrine, the group coordinate to overcome them"
4,Jumanji: Welcome to the Jungle," They eventually reach the shrine, but Van Pelt corners them"
4,Jumanji: Welcome to the Jungle," Working together, Fridge, Bethany, and Alex distract him while Spencer and Martha outmaneuver him with the game's mechanics, returning the jewel to the statue"
4,Jumanji: Welcome to the Jungle," Upon calling out Jumanji, the group destroy Van Pelt and, after sharing a handshake with Nigel, return to the real world"
4,Jumanji: Welcome to the Jungle,", 'Returning to the school basement, the foursome find Alex is not with them"
4,Jumanji: Welcome to the Jungle," While walking home, they unexpectedly find the Vreeke home restored and decorated for a Christmas family gathering"
4,Jumanji: Welcome to the Jungle," The group is greeted by Alex, now an adult, who explains that he managed to miraculously return to 1996, which allowed him to lead a married life with two children"
4,Jumanji: Welcome to the Jungle, He has a son named Andy and his daughter is named after Bethany as a thank you when she revived him with one of her lives in the game
4,Jumanji: Welcome to the Jungle," The four students become friends after their experiences in the game, with Bethany becoming a better person, Spencer and Fridge patching things up, and Spencer starting a relationship with Martha"
4,Jumanji: Welcome to the Jungle," Later, they destroy the game by dropping a bowling ball they found earlier on it to prevent it from endangering anyone else"
0,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents kidnapped Indiana Jones and his partner."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The Soviets force Jones to locate a mummified alien corpse from the Roswell incident, which he was forced to work on 10 years earlier, afterinfiltrating a secret government warehouse in Nevada."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac became a double agent after retrieving the corpse.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tried to steal the body, but was defeated by Spalko's henchman Dovchenko, before escaping to a nearby model town."
0,Indiana Jones and the Kingdom of the Crystal Skull,"He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue him, and suspect him of working for the Soviets."
0,Indiana Jones and the Kingdom of the Crystal Skull,Charles Stanforth resigned as dean of Marshall College in order to spare Jones from being fired.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with his mother."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tells Mutt of the legend of crystal skulls found in Akator, and he also gets a letter from his mother which contains a riddle from Oxley."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The two Soviet agents tried to capture them, but Jones and Mutt escaped."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The grave of Francisco de Orellana, a Conquistador who searched for Akator, is located at the local psychiatric hospital."
0,Indiana Jones and the Kingdom of the Crystal Skull,Jones said that Oxley had returned the skull to the grave.
0,Indiana Jones and the Kingdom of the Crystal Skull,"While the two are leaving the tomb, Mac and the Soviets take them hostage and deliver them to the Soviet camp in the Amazon jungle."
0,Indiana Jones and the Kingdom of the Crystal Skull,"There, the pair find an addled Oxley and a woman who is actually a partner of Jones'."
0,Indiana Jones and the Kingdom of the Crystal Skull,Spalko believes that the crystal skull is from an alien life form.
0,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world via telepathy if more skulls are found in Akator.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Oxley is trying to communicate through automatic writing, and Jones locates a route to Akator."
0,Indiana Jones and the Kingdom of the Crystal Skull,"On the way to the ancient city, Jones and his team fight their way out of the clutches of the KGB, with Dovchenko being devoured by a swarm of army ants."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac tells Jones he is a CIA double agent.
0,Indiana Jones and the Kingdom of the Crystal Skull,"After surviving three waterfalls in an amphibious vehicle, Jones and Oxley identify a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones's team evades the city's guardians, gains access to the temple, and finds artifacts from many ancient civilizations."
0,Indiana Jones and the Kingdom of the Crystal Skull,The aliens are studying the different cultures of Earth.
0,Indiana Jones and the Kingdom of the Crystal Skull,One of the 13 crystal skeletons is missing its skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The skeletons offer a reward to the group when Spalko arrives, using Oxley as a translator."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The aliens reanimate and transfer an overwhelming amount of knowledge into her mind, killing her."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Mac and the rest of the Soviets are drawn in when a portal is activated, while Jones and his team escape."
0,Indiana Jones and the Kingdom of the Crystal Skull,The waters of the Amazon flood the hollow left by a flying saucer that rises from the ruins.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and he is married to Oxley, who has regained his sanity."
0,Indiana Jones and the Kingdom of the Crystal Skull,Soviet KGB agents kidnapped Indiana Jones and his partner in 1957.
0,Indiana Jones and the Kingdom of the Crystal Skull,The Soviets force Jones to locate a mummified alien corpse from the Roswell incident after he was forced to work 10 years earlier.
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac has become a double agent for the KGB after retrieving the corpse.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tried to steal the body, but was defeated by Spalko's henchman Dovchenko before escaping to a nearby model town."
0,Indiana Jones and the Kingdom of the Crystal Skull,He takes shelter in a lead-lined refrigerator and FBI agents eventually rescue him and suspect him of working for the Soviets.
0,Indiana Jones and the Kingdom of the Crystal Skull,Charles Stanforth resigned as dean of Marshall College to spare Jones from being fired after he was freed.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Greaser Mutt Williams approaches Jones, notifying him that Jones' former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with Mutt's mother, who went after him."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tells Mutt of the legend of crystal skulls found in Akator, and he also gets a letter from his mother which contains a riddles from Oxley."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Two Soviet agents attempt to capture them, but Jones and Mutt escape and reach the other side of the world."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The grave of Francisco de Orellana, a Conquistador who searched for Akator, can be found at the local psychiatric hospital."
0,Indiana Jones and the Kingdom of the Crystal Skull,Jones believes that Oxley returned the skull to the grave.
0,Indiana Jones and the Kingdom of the Crystal Skull,"While the two are leaving the tomb, Mac and the Soviets take them hostage and deliver them to a Soviet camp in the Amazon jungle."
0,Indiana Jones and the Kingdom of the Crystal Skull,"There, they find an addled Oxley and a woman who is actually a partner of Jones'."
0,Indiana Jones and the Kingdom of the Crystal Skull,Spalko thinks the crystal skull is an alien life form that has psychic power.
0,Indiana Jones and the Kingdom of the Crystal Skull,The Soviet Union will be able to control the world through telepathy if more skulls are found in Akator.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Oxley is attempting to communicate through automatic writing, and Jones locates a route to Akator."
0,Indiana Jones and the Kingdom of the Crystal Skull,"On the way to the ancient city, Jones and his team fight their way out of the KGB's clutches, with Dovchenko being devoured by a swarm of army ants."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac informs Jones that he is a CIA double agent.
0,Indiana Jones and the Kingdom of the Crystal Skull,"After surviving three waterfalls in an amphibious vehicle, Jones and Oxley find a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent."
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones's team evades the city's guardians, gains access to the temple, and finds many ancient artifacts."
0,Indiana Jones and the Kingdom of the Crystal Skull,Aliens are studying the different cultures of Earth.
0,Indiana Jones and the Kingdom of the Crystal Skull,One of the 13 crystal skeletons that they found is missing its skull.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The skeletons offer to give a reward to the group when Spalko arrives, using Oxley as a translator."
0,Indiana Jones and the Kingdom of the Crystal Skull,She is killed by the aliens when they reanimate and transfer an overwhelming amount of knowledge into her mind.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Mac and the rest of the Soviets are drawn in when a portal is activated, while Jones and his team are able to escape."
0,Indiana Jones and the Kingdom of the Crystal Skull,The waters of the Amazon flood the hollow left by the flying saucer after it leaves the ruins.
0,Indiana Jones and the Kingdom of the Crystal Skull,"The following year, Jones is reinstated at Marshall College as its associate dean, and he is married to Oxley, who had regained his sanity."
0,Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, Soviet KGB agents kidnapped Indiana Jones and his partner George MacHale."
0,Indiana Jones and the Kingdom of the Crystal Skull,"The Soviets force Jones to locate a mummified alien corpse from the Roswell incident, which he was forced to work on 10 years earlier, after they invaded a secret government warehouse in Nevada."
0,Indiana Jones and the Kingdom of the Crystal Skull,Mac became a double agent for the KGB after retrieving the corpse.
0,Indiana Jones and the Kingdom of the Crystal Skull,"Jones tried to steal the body, but was defeated by Spalko's henchman Dovchenko, and escaped to a nearby model town."
0,Indiana Jones and the Kingdom of the Crystal Skull,"He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue him, and suspect him of working for the soviets."
