,Plot_sentence,query_sentence,0
122,"Americans Helen and Paul Curtis and their daughters, Jan and Ellie, move into a manor in rural England.",they are planning the murders in that room and the girl seems to be trying to escape,n
123,"Jan, realizing her sister has disappeared from the yard, goes into the woods to find her, eventually locating her at a pond. ",another young man is apparently watching deaths online but he cannot leave his house,n
124,"In the water, she sees a blue circle of light, and is blinded by a flash, causing her to fall in; she nearly drowns, but Mrs. Aylwood saves her","The plays/plots I remember are as follows : Boy gets put in prison (wrongly accused of stealing a necklace, I think), but gets pitied by a princess and she takes him food/clothing.",n
125,"In a voice that is not her own, she explains that an accidental switch took place thirty years ago, in which Karen traded places with an alien presence from an alternate dimension; thus, the Watcher has been haunting the woods since, while Karen has remained suspended in time.","She stands up and yells something out like â€œIs this what you wantâ€_x009d_ and takes off her hoodie to show her disfigured face, then the opening credits start to roll.
",n
126,"The three of them meet up at a café they frequent, where we're introduced to other teens they know, such as Alyssa, Dingbat and Egg and Dark's friend Cowboy, and they discuss a party being held that night by a man they know named Jujyfruit.",A hand reaches for his glasses and we see the little sister putting them on.,n
127,Elvis claims Handjob sold him cut drugs and beats him to death with a can of tomato soup,The opening scene of the film has a girl with a scarred faced and it's in black and white at a diner.,n
128,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",Mark's parents come home to find the house in shambles; ,n
129,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",The girl ends up in this castle at a ball  and goes up to a room with a mirror.,n
130,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",the plan is to murder the girl and she seems to be trying to leave her family,n
131,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",the good sister is grown up and walking through the desert.,n
132,He then takes it upon himself to coerce Jim into committing suicide.,they're plotting a murder in this room and the girl seems to be trying to get out of family,n
133,He then takes it upon himself to coerce Jim into committing suicide.,Someone turns into a giant lizard or some kind of alien and climbs out the window.,n
134,He then takes it upon himself to coerce Jim into committing suicide.,The drum also makes the clan/tribe unbeatable in battle.,n
135,He then takes it upon himself to coerce Jim into committing suicide.,the story takes place in a hotel or dormitory type building where the doors are numbered,n
136,He then takes it upon himself to coerce Jim into committing suicide.,A bee flies around the head of the correct daughter because he fed the bee earlier in the tunnel.,n
137,He then takes it upon himself to coerce Jim into committing suicide.,,n
138,He then takes it upon himself to coerce Jim into committing suicide.,"Black-haired woman joins his crew, the next day.",n
139,William becomes darker and more menacing and even begins to watch people commit suicide.,She then sits quietly and suddenly jumps out of the car.,n
140,William becomes darker and more menacing and even begins to watch people commit suicide.,they plan the murder in that room and the girl seems to be trying to leave her family,n
141,William becomes darker and more menacing and even begins to watch people commit suicide.,its about a group of high school students who are constantly bullied.,n
142,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",they all wake up chained up.,n
143,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",eventually one of them escapes (a black jock i think) and tries to get help.,n
144,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.","It â€œscannedâ€_x009d_ them, and the silhouettes of the clothes they described appeared on their bodies.",n
145,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",They are plotting murder in that room and the girl seems to be trying to leave her family.,n
146,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",,n
